T_null_median,T_obs_median,adjacent_minus_distal_median,adjacent_median_gt_distal_pct,p_one_sided
85.5,89.5,4,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
41,89.5,48.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
33,89.5,56.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
82,89.5,7.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
82,89.5,7.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
33,89.5,56.5,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
73.5,89.5,16,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
41,89.5,48.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
33,89.5,56.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
60,89.5,29.5,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
41.5,89.5,48,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
83.5,89.5,6,100,9.999000099990002e-5
4.5,89.5,85,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
60,89.5,29.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
33,89.5,56.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
84,89.5,5.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
33,89.5,56.5,100,9.999000099990002e-5
9,89.5,80.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
41,89.5,48.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
9.5,89.5,80,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
41.5,89.5,48,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
41.5,89.5,48,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
33,89.5,56.5,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
33,89.5,56.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
9.5,89.5,80,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
30,89.5,59.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
9.5,89.5,80,100,9.999000099990002e-5
73.5,89.5,16,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
73.5,89.5,16,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
41.5,89.5,48,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
33,89.5,56.5,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
30,89.5,59.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
82,89.5,7.5,100,9.999000099990002e-5
32,89.5,57.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
84,89.5,5.5,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
41,89.5,48.5,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
41.5,89.5,48,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
9,89.5,80.5,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
30,89.5,59.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
9.5,89.5,80,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
41.5,89.5,48,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
84,89.5,5.5,100,9.999000099990002e-5
30,89.5,59.5,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
41,89.5,48.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
41,89.5,48.5,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
84,89.5,5.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
30,89.5,59.5,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
9.5,89.5,80,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
41,89.5,48.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
41,89.5,48.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
41.5,89.5,48,100,9.999000099990002e-5
41.5,89.5,48,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
41.5,89.5,48,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
82,89.5,7.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
9,89.5,80.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
87,89.5,2.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
33,89.5,56.5,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
58.5,89.5,31,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
61,89.5,28.5,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
82,89.5,7.5,100,9.999000099990002e-5
76,89.5,13.5,100,9.999000099990002e-5
33,89.5,56.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
42,89.5,47.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
32,89.5,57.5,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
41.5,89.5,48,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
74,89.5,15.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
9.5,89.5,80,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
58,89.5,31.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
84,89.5,5.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
82,89.5,7.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
87.5,89.5,2,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
77,89.5,12.5,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
42.5,89.5,47,100,9.999000099990002e-5
61.5,89.5,28,100,9.999000099990002e-5
77.5,89.5,12,100,9.999000099990002e-5
85.5,89.5,4,100,9.999000099990002e-5
